Player,total_points
Kareem Abdul-Jabbar*,38387.0
Karl Malone*,36928.0
Wilt Chamberlain*,33953.0
Kobe Bryant,33643.0
Michael Jordan*,32292.0
Eddie Johnson,31852.0
Dirk Nowitzki,30260.0
Shaquille O'Neal*,29428.0
LeBron James,28787.0
Dominique Wilkins*,28591.0
Moses Malone*,28492.0
Vince Carter,27463.0
Allen Iverson*,27457.0
Elvin Hayes*,27313.0
Hakeem Olajuwon*,26946.0
Alex English*,26931.0
Oscar Robertson*,26710.0
Tim Duncan,26496.0
Paul Pierce,26397.0
John Havlicek*,26395.0
Kevin Garnett,26394.0
Adrian Dantley*,26274.0
Ray Allen,26218.0
Carmelo Anthony,26126.0
Reggie Miller*,25279.0
Walt Bellamy*,25205.0
Jerry West*,25192.0
Patrick Ewing*,24815.0
Clyde Drexler*,23848.0
Charles Barkley*,23757.0
Gary Payton*,23447.0
Robert Parish*,23334.0
Elgin Baylor*,23149.0
Bob McAdoo*,22300.0
Larry Bird*,21791.0
Joe Johnson,21606.0
Hal Greer*,21586.0
Dwyane Wade,21317.0
Antawn Jamison,21277.0
Pau Gasol,21247.0
Bob Pettit*,20880.0
David Robinson*,20790.0
George Gervin*,20708.0
Mitch Richmond*,20497.0
Bob Lanier*,20458.0
Walter Davis,20445.0
Tim Hardaway,20339.0
Clifford Robinson,20124.0
Tom Chambers,20049.0
Dale Ellis,20039.0
Mark Aguirre,19969.0
Terry Cummings,19927.0
Kevin Willis,19923.0
Reggie Theus,19760.0
John Stockton*,19711.0
World B.,19698.0
Bernard King*,19655.0
Shawn Marion,19563.0
Jamal Crawford,19364.0
Chauncey Billups,19303.0
Otis Thorpe,19289.0
Gail Goodrich*,19181.0
Chris Webber,19172.0
Kevin Durant,19121.0
Jason Kidd,18992.0
Stephon Marbury,18980.0
Juwan Howard,18979.0
Scottie Pippen*,18940.0
Chet Walker*,18831.0
Isiah Thomas*,18822.0
Zach Randolph,18762.0
Michael Finley,18757.0
Jason Terry,18715.0
Jeff Malone,18679.0
Tracy McGrady,18626.0
Tony Parker,18522.0
Dolph Schayes*,18438.0
Rick Barry*,18395.0
Glen Rice,18379.0
Julius Erving*,18364.0
Dave Bing*,18327.0
Earl Monroe*,18203.0
Andre Miller,18135.0
Calvin Murphy*,17949.0
Lou Hudson,17940.0
Chris Mullin*,17911.0
Lenny Wilkens*,17772.0
Bailey Howell*,17770.0
Larry Nance,17765.0
Magic Johnson*,17707.0
Jerry Stackhouse,17658.0
Rolando Blackman,17623.0
Tom Van,17490.0
Steve Nash,17387.0
Sam Cassell,17345.0
Kevin McHale*,17335.0
Jack Sikma,17287.0
James Edwards,17263.0
Chris Bosh,17189.0
Grant Hill,17137.0
Antoine Walker,17120.0
Jason Richardson,17105.0
Rasheed Wallace,17094.0
Bob Cousy*,16960.0
Jeff Hornacek,16933.0
Randy Smith,16925.0
Elton Brand,16827.0
Jalen Rose,16825.0
Derek Harper,16797.0
Buck Williams,16784.0
Mike Mitchell,16742.0
Ricky Pierce,16724.0
Latrell Sprewell,16712.0
Rudy Gay,16683.0
Amar'e Stoudemire,16674.0
Dwight Howard,16652.0
Jim Jackson,16594.0
Detlef Schrempf,16589.0
Pete Maravich*,16537.0
Tiny Archibald*,16481.0
Kiki Vandeweghe,16479.0
Shareef Abdur-Rahim,16412.0
Joe Dumars*,16401.0
Sam Perkins,16360.0
James Worthy*,16320.0
Paul Arizin*,16266.0
Stephen Jackson,16265.0
Rashard Lewis,16247.0
Rod Strickland,16211.0
Mike Bibby,16053.0
Monta Ellis,16039.0
Spencer Haywood*,16013.0
Al Harrington,15991.0
Mike Dunleavy,15921.0
Artis Gilmore*,15844.0
Jack Twyman*,15840.0
Deron Williams,15814.0
Richie Guerin*,15725.0
Richard Hamilton,15708.0
Chris Paul,15610.0
Terry Porter,15586.0
Walt Frazier*,15581.0
Dennis Johnson*,15535.0
Bob Dandridge,15530.0
Jo Jo,15525.0
Richard Jefferson,15452.0
Eddie Jones,15428.0
Sam Jones*,15411.0
Dick Barnett,15358.0
Shawn Kemp,15347.0
Gerald Henderson,15331.0
Dave DeBusschere*,15294.0
John Drew,15291.0
Peja Stojakovic,15217.0
Armen Gilliam,15213.0
Russell Westbrook,15156.0
LaMarcus Aldridge,15136.0
