Player,total_points
James Harden,10823.0
DeMarcus Cousins,9947.0
Stephen Curry,9933.0
LeBron James,9742.0
Russell Westbrook,9227.0
Kevin Durant,9143.0
Damian Lillard,8880.0
Rudy Gay,8844.0
Isaiah Thomas,8789.0
DeMar DeRozan,8330.0
Carmelo Anthony,8230.0
Klay Thompson,8028.0
Goran Dragic,7727.0
Anthony Davis,7497.0
LaMarcus Aldridge,7398.0
Kemba Walker,7338.0
Kyrie Irving,7288.0
Jeff Green,7270.0
John Wall,7212.0
Gordon Hayward,6907.0
Blake Griffin,6904.0
Paul George,6816.0
Tobias Harris,6816.0
Thaddeus Young,6602.0
Serge Ibaka,6528.0
Chris Paul,6485.0
Kyle Lowry,6430.0
J.J. Redick,6408.0
Monta Ellis,6401.0
Dwyane Wade,6327.0
Paul Millsap,6312.0
Lou Williams,6288.0
Joe Johnson,6268.0
Dirk Nowitzki,6126.0
Jeff Teague,6125.0
Jimmy Butler,6099.0
Brook Lopez,6065.0
Brandon Knight,6043.0
Kawhi Leonard,6001.0
Kevin Love,5944.0
Ersan Ilyasova,5925.0
Reggie Jackson,5896.0
Enes Kanter,5890.0
Arron Afflalo,5881.0
Greg Monroe,5806.0
Mike Conley,5803.0
Zach Randolph,5752.0
Bradley Beal,5728.0
Marc Gasol,5706.0
Jamal Crawford,5675.0
Markieff Morris,5636.0
Luol Deng,5602.0
Deron Williams,5595.0
Evan Turner,5575.0
Nikola Vucevic,5524.0
J.R. Smith,5517.0
Dion Waiters,5378.0
D.J. Augustin,5320.0
Josh Smith,5309.0
Wesley Matthews,5284.0
Courtney Lee,5268.0
Dwight Howard,5217.0
Al Horford,5184.0
Al Jefferson,5164.0
Corey Brewer,5154.0
Pau Gasol,5139.0
Andre Drummond,5120.0
Brandon Jennings,5088.0
Marcus Morris,5069.0
Andrew Wiggins,4995.0
Nicolas Batum,4991.0
Tony Parker,4946.0
Ty Lawson,4876.0
Ramon Sessions,4844.0
Eric Bledsoe,4805.0
Giannis Antetokounmpo,4737.0
Ryan Anderson,4681.0
Kyle Korver,4666.0
Trevor Ariza,4646.0
Marcin Gortat,4644.0
Victor Oladipo,4618.0
Harrison Barnes,4605.0
Terrence Ross,4589.0
Jrue Holiday,4580.0
Taj Gibson,4545.0
Darren Collison,4543.0
Tyreke Evans,4543.0
DeAndre Jordan,4535.0
David Lee,4534.0
Chandler Parsons,4487.0
Marcus Thornton,4481.0
Avery Bradley,4472.0
Chris Bosh,4451.0
Spencer Hawes,4450.0
Eric Gordon,4422.0
Gerald Henderson,4391.0
Kenneth Faried,4387.0
Derrick Favors,4376.0
George Hill,4272.0
Jeremy Lin,4254.0
Patrick Patterson,4220.0
Kevin Martin,4182.0
Jonas Valanciunas,4160.0
Kobe Bryant,4159.0
Derrick Williams,4152.0
C.J. McCollum,4128.0
Robin Lopez,4084.0
Khris Middleton,4070.0
Danilo Gallinari,4064.0
Jae Crowder,4041.0
Matt Barnes,4023.0
Michael Carter-Williams,4019.0
David West,4007.0
