_c0,Player,height,weight,collage,born,birth_city,birth_state,First_Name,Last_Name
0,Curly Armstrong,180,77,Indiana University,1918,Unknown,Unknown,Curly,Armstrong
1,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana,Cliff,Barker
2,Leo Barnhorst,193,86,University of Notre Dame,1924,Unknown,Unknown,Leo,Barnhorst
3,Ed Bartels,196,88,North Carolina State University,1925,Unknown,Unknown,Ed,Bartels
4,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky,Ralph,Beard
5,Gene Berce,180,79,Marquette University,1926,Unknown,Unknown,Gene,Berce
6,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho,Charlie,Black
7,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania,Nelson,Bobb
8,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey,Jake,Bornheimer
9,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana,Vince,Boryla
10,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan,Don,Boven
11,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York,Harry,Boykoff
12,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma,Joe,Bradley
13,Bob Brannum,196,97,Michigan State University,1925,Unknown,Unknown,Bob,Brannum
14,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York,Carl,Braun
15,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana,Frankie,Brian
16,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas,Price,Brookfield
17,Bob Brown,193,92,Miami University,1923,Versailles,Ohio,Bob,Brown
18,Jim Browne,208,106,Unknown,1930,Midlothian,Illinois,Jim,Browne
19,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey,Walt,Budko
20,Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,Unknown,Unknown,Jack,Burmaster
21,Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey,Tommy,Byrnes
22,Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California,Bill,Calhoun
23,Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota,Don,Carlson
24,Bob Carpenter,196,90,East Texas State University,1917,Unknown,Unknown,Bob,Carpenter
25,Jake Carter,193,88,East Texas State University,1924,Unknown,Unknown,Jake,Carter
26,Al Cervi*,180,77,Unknown,1917,Buffalo,New York,Al,Cervi*
27,John Chaney,190,83,Louisiana State University,1920,Unknown,Unknown,John,Chaney
28,Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana,Leroy,Chollet
29,Bill Closs,196,88,Rice University,1922,Edge,Texas,Bill,Closs
30,Paul Cloyd,188,81,University of Wisconsin,1920,Unknown,Unknown,Paul,Cloyd
31,Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky,Jack,Coleman
32,Bobby Cook,178,70,University of Wisconsin,1923,Unknown,Unknown,Bobby,Cook
33,Ray Corley,183,81,Georgetown University,1928,Unknown,Unknown,Ray,Corley
34,Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana,Jack,Cotton
35,Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee,Dillard,Crocker
36,Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania,Chink,Crossin
37,Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois,Fran,Curran
38,Jimmy Darden,185,77,University of Denver,1922,Unknown,Unknown,Jimmy,Darden
39,Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania,Bob,Davies*
40,Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia,Hook,Dillon
41,Earl Dodd,196,79,Truman State University,1924,Unknown,Unknown,Earl,Dodd
42,Joe Dolhon,183,79,New York University,1927,Unknown,Unknown,Joe,Dolhon
43,Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado,Bob,Doll
44,Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey,Harry,Donovan
45,Andy Duncan,198,88,College of William & Mary,1922,Unknown,Unknown,Andy,Duncan
46,Dike Eddleman,190,85,University of Illinois at Urbana-Champaign,1922,Centralia,Illinois,Dike,Eddleman
47,Gene Englund,196,92,University of Wisconsin,1917,Kenosha,Wisconsin,Gene,Englund
48,Bob Evans,188,79,Butler University,1925,Indianapolis,Indiana,Bob,Evans
49,Johnny Ezersky,190,79,University of Rhode Island,1922,New York,New York,Johnny,Ezersky
50,Bob Feerick,190,86,Santa Clara University,1920,San Francisco,California,Bob,Feerick
51,George Feigenbaum,185,83,University of Kentucky,1929,Unknown,Unknown,George,Feigenbaum
52,Arnie Ferrin,188,81,University of Utah,1925,Salt Lake City,Utah,Arnie,Ferrin
53,Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York,Jerry,Fleishman
54,Joe Fulks*,196,86,Murray State University,1921,Birmingham,Kentucky,Joe,Fulks*
55,Bill Gabor,180,77,Syracuse University,1922,Unknown,Unknown,Bill,Gabor
56,Elmer Gainer,198,88,DePaul University,1918,Chicago,Illinois,Elmer,Gainer
57,Harry Gallatin*,198,95,Truman State University,1927,Roxana,Illinois,Harry,Gallatin*
58,Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming,Vern,Gardner
59,Frank Gates,183,72,Sam Houston State University,1920,Unknown,Unknown,Frank,Gates
60,Dee Gibson,180,79,Western Kentucky University,1923,Unknown,Unknown,Dee,Gibson
61,Hoot Gibson,196,89,Creighton University,1921,Unknown,Unknown,Hoot,Gibson
62,Chuck Gilmur,193,102,University of Washington,1922,Unknown,Unknown,Chuck,Gilmur
63,Normie Glick,201,86,Loyola Marymount University,1927,Unknown,Unknown,Normie,Glick
64,Paul Gordon,190,83,University of Notre Dame,1927,Unknown,Unknown,Paul,Gordon
65,Joe Graboski,201,88,Unknown,1930,Unknown,Unknown,Joe,Graboski
66,Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin,Bud,Grant
67,Don Grate,188,83,Ohio State University,1923,Greenfield,Ohio,Don,Grate
68,Alex Groza,201,98,University of Kentucky,1926,Martins Ferry,Ohio,Alex,Groza
69,Al Guokas,196,90,Saint Joseph's University,1925,Unknown,Unknown,Al,Guokas
70,Robert Hahn,208,108,North Carolina State University,1925,Unknown,Unknown,Robert,Hahn
71,Chick Halbert,206,102,West Texas A&M University,1919,Albany,Texas,Chick,Halbert
72,Bruce Hale,185,77,Santa Clara University,1918,Medford,Oregon,Bruce,Hale
73,Dale Hamilton,183,81,Franklin College,1919,Unknown,Unknown,Dale,Hamilton
74,Alex Hannum*,201,95,University of Southern California,1923,Los Angeles,California,Alex,Hannum*
75,John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas,John,Hargis
76,Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee,Bob,Harris
