team_name,total_expense,points
Phoenix Suns,1301300797.0,425714.0
Dallas Mavericks,1493116122.0,306085.0
New Orleans Pelicans,1083438478.0,68241.0
Brooklyn Nets,1538152451.0,283069.0
New York Knicks,1721364492.0,551292.0
Memphis Grizzlies,1367129938.0,125640.0
Minnesota Timberwolves,1371717243.0,220443.0
Los Angeles Lakers,1669793249.0,499158.0
Cleveland Caveliers,1546675821.0,381993.0
Golden State Warriors,1399911206.0,396039.0
Orlando Magic,1457505264.0,224370.0
Los Angeles Clippers,1327162786.0,265511.0
Detroit Pistons,1239799470.0,502184.0
Chicago Bulls,1267306891.0,421015.0
Boston Celtic,1313431133.0,568808.0
Milwaukee Bucks,1430460821.0,411451.0
Indiana Pacers,1262566028.0,338012.0
Washington Wizards,1479191278.0,155362.0
Atlanta Hawks,1374883726.0,406220.0
Utah Jazz,1241932171.0,312724.0
Charlotte Hornets,534783684.0,76058.0
Portland Trail Blazers,1632454251.0,397044.0
Philadelphia 76ers,1230518756.0,455930.0
San Antonio Spurs,1307410549.0,346198.0
Oklahoma City Thunder,1444219765.0,75349.0
Houston Rockets,1259103876.0,386092.0
Sacramento Kings,1356296970.0,262936.0
Toronto Raptors ,1305871066.0,171678.0
Miami Heat,1295705551.0,226856.0
Denver Nuggets,1272617810.0,354228.0
