first_name,last_name,born,Pos,birth_city,birth_state
CLIFF,BARKER,1921,SG,Yorktown,Indiana
RALPH,BEARD,1927,G,Hardinsburg,Kentucky
CHARLIE,BLACK,1921,F-C,Arco,Idaho
CHARLIE,BLACK,1921,F-C,Arco,Idaho
CHARLIE,BLACK,1921,F-C,Arco,Idaho
NELSON,BOBB,1924,PG,Philadelphia,Pennsylvania
JAKE,BORNHEIMER,1927,F-C,New Brunswick,New Jersey
VINCE,BORYLA,1927,SF,East Chicago,Indiana
DON,BOVEN,1925,F-G,Kalamazoo,Michigan
HARRY,BOYKOFF,1922,C,Brooklyn,New York
JOE,BRADLEY,1928,G,Washington,Oklahoma
CARL,BRAUN,1927,G-F,Brooklyn,New York
FRANKIE,BRIAN,1923,G,Zachary,Louisiana
PRICE,BROOKFIELD,1920,F-G,Floydada,Texas
BOB,BROWN,1923,F,Versailles,Ohio
JIM,BROWNE,1930,C,Midlothian,Illinois
WALT,BUDKO,1925,PF,Kearney,New Jersey
TOMMY,BYRNES,1923,F-G,Teaneck,New Jersey
BILL,CALHOUN,1927,SG,San Francisco,California
DON,CARLSON,1919,G-F,Minneapolis,Minnesota
AL,CERVI*,1917,PG,Buffalo,New York
LEROY,CHOLLET,1925,F,New Orleans,Louisiana
BILL,CLOSS,1922,SF,Edge,Texas
JACK,COLEMAN,1924,PF,Burgin,Kentucky
JACK,COTTON,1924,F-C,Miles City,Montana
DILLARD,CROCKER,1925,PF,Coffee County,Tennessee
CHINK,CROSSIN,1923,G,Luzerne,Pennsylvania
FRAN,CURRAN,1922,G,Sterling,Illinois
BOB,DAVIES*,1920,PG,Harrisburg,Pennsylvania
HOOK,DILLON,1924,F,Savannah,Georgia
BOB,DOLL,1919,F-C,Steamboat Springs,Colorado
HARRY,DONOVAN,1926,G,Union City,New Jersey
DIKE,EDDLEMAN,1922,SF,Centralia,Illinois
GENE,ENGLUND,1917,F-C,Kenosha,Wisconsin
GENE,ENGLUND,1917,F-C,Kenosha,Wisconsin
GENE,ENGLUND,1917,F-C,Kenosha,Wisconsin
BOB,EVANS,1925,G,Indianapolis,Indiana
