player,salary,season_end,season_start,team,team_name,First_Name,Last_Name
Moses Malone,2406000,1991,1990,ATL,Atlanta Hawks,Moses,Malone
Dominique Wilkins,2065000,1991,1990,ATL,Atlanta Hawks,Dominique,Wilkins
Jon Koncak,1550000,1991,1990,ATL,Atlanta Hawks,Jon,Koncak
Doc Rivers,895000,1991,1990,ATL,Atlanta Hawks,Doc,Rivers
Rumeal Robinson,800000,1991,1990,ATL,Atlanta Hawks,Rumeal,Robinson
Tim McCormick,775000,1991,1990,ATL,Atlanta Hawks,Tim,McCormick
Kevin Willis,685000,1991,1990,ATL,Atlanta Hawks,Kevin,Willis
Alexander Volkov,650000,1991,1990,ATL,Atlanta Hawks,Alexander,Volkov
John Battle,590000,1991,1990,ATL,Atlanta Hawks,John,Battle
Sidney Moncrief,510000,1991,1990,ATL,Atlanta Hawks,Sidney,Moncrief
Spud Webb,510000,1991,1990,ATL,Atlanta Hawks,Spud,Webb
Gary Leonard,200000,1991,1990,ATL,Atlanta Hawks,Gary,Leonard
Duane Ferrell,125000,1991,1990,ATL,Atlanta Hawks,Duane,Ferrell
Dominique Wilkins,3100000,1992,1991,ATL,Atlanta Hawks,Dominique,Wilkins
Jon Koncak,2000000,1992,1991,ATL,Atlanta Hawks,Jon,Koncak
Blair Rasmussen,1558000,1992,1991,ATL,Atlanta Hawks,Blair,Rasmussen
Rumeal Robinson,1025000,1992,1991,ATL,Atlanta Hawks,Rumeal,Robinson
Maurice Cheeks,1000000,1992,1991,ATL,Atlanta Hawks,Maurice,Cheeks
Travis Mays,1000000,1992,1991,ATL,Atlanta Hawks,Travis,Mays
Stacey Augmon,875000,1992,1991,ATL,Atlanta Hawks,Stacey,Augmon
Kevin Willis,725000,1992,1991,ATL,Atlanta Hawks,Kevin,Willis
Alexander Volkov,675000,1992,1991,ATL,Atlanta Hawks,Alexander,Volkov
Duane Ferrell,500000,1992,1991,ATL,Atlanta Hawks,Duane,Ferrell
Rodney Monroe,217000,1992,1991,ATL,Atlanta Hawks,Rodney,Monroe
Gary Leonard,130000,1992,1991,ATL,Atlanta Hawks,Gary,Leonard
Paul Graham,125000,1992,1991,ATL,Atlanta Hawks,Paul,Graham
Dominique Wilkins,3500000,1993,1992,ATL,Atlanta Hawks,Dominique,Wilkins
