team_name,Points
Phoenix Suns,425714.0
Dallas Mavericks,306085.0
New Orleans Pelicans,68241.0
Brooklyn Nets,283069.0
New York Knicks,551292.0
Memphis Grizzlies,125640.0
Minnesota Timberwolves,220443.0
Los Angeles Lakers,499158.0
Cleveland Caveliers,381993.0
Golden State Warriors,396039.0
Orlando Magic,224370.0
Los Angeles Clippers,265511.0
Detroit Pistons,502184.0
Boston Celtic,568808.0
Chicago Bulls,421015.0
Milwaukee Bucks,411451.0
Indiana Pacers,338012.0
Washington Wizards,155362.0
Atlanta Hawks,406220.0
Utah Jazz,312724.0
Charlotte Hornets,76058.0
Portland Trail Blazers,397044.0
Philadelphia 76ers,455930.0
San Antonio Spurs,346198.0
Oklahoma City Thunder,75349.0
Houston Rockets,386092.0
Sacramento Kings,262936.0
Toronto Raptors ,171678.0
Miami Heat,226856.0
Denver Nuggets,354228.0
