team_name,Points
Phoenix Suns,41933.0
Dallas Mavericks,41935.0
New Orleans Pelicans,7714.0
New York Knicks,40436.0
Memphis Grizzlies,39970.0
Minnesota Timberwolves,41690.0
Los Angeles Lakers,41453.0
Cleveland Caveliers,42027.0
Golden State Warriors,44785.0
Orlando Magic,40136.0
Los Angeles Clippers,43370.0
Detroit Pistons,40811.0
Boston Celtic,41548.0
Chicago Bulls,40356.0
Milwaukee Bucks,40579.0
Indiana Pacers,40583.0
Washington Wizards,41465.0
Atlanta Hawks,41615.0
Utah Jazz,39898.0
Charlotte Hornets,15603.0
Portland Trail Blazers,42650.0
Philadelphia 76ers,39725.0
San Antonio Spurs,42675.0
Oklahoma City Thunder,43677.0
Houston Rockets,44234.0
Sacramento Kings,41940.0
Toronto Raptors ,41987.0
Miami Heat,41244.0
Denver Nuggets,43099.0
